CountryName,Date,ConfirmedCases,ConfirmedDeaths
Argentina,2020,1625514.0,43245.0
Argentina,2021,5654408.0,117169.0
Argentina,2022,9891139.0,130124.0
Australia,2020,28425.0,909.0
Australia,2021,425496.0,2253.0
Australia,2022,11131707.0,17052.0
Austria,2020,356063.0,7486.0
Austria,2021,1270811.0,16815.0
Austria,2022,5705093.0,21443.0
Azerbaijan,2020,218700.0,2641.0
Azerbaijan,2021,616947.0,8358.0
Azerbaijan,2022,826401.0,10008.0
Belgium,2020,646496.0,19528.0
Belgium,2021,2105343.0,28331.0
Belgium,2022,4668248.0,33228.0
Bangladesh,2020,513510.0,7559.0
Bangladesh,2021,1585539.0,28072.0
Bangladesh,2022,2037125.0,29440.0
Bulgaria,2020,202266.0,7576.0
Bulgaria,2021,747108.0,30955.0
Bulgaria,2022,1292104.0,38108.0
Belarus,2020,194284.0,1424.0
Belarus,2021,699110.0,5578.0
Belarus,2022,994037.0,7118.0
Brazil,2020,7681032.0,195072.0
Brazil,2021,22291839.0,619334.0
Brazil,2022,36331281.0,693853.0
Canada,2020,590249.0,15736.0
Canada,2021,2223735.0,30320.0
Canada,2022,4505142.0,49238.0
Switzerland,2020,452296.0,7873.0
Switzerland,2021,1332615.0,12217.0
Switzerland,2022,4399516.0,14173.0
Chile,2020,608973.0,16608.0
Chile,2021,1806494.0,39115.0
Chile,2022,5037527.0,63172.0
China,2020,93679.0,4733.0
China,2021,115168.0,4890.0
China,2022,1956071.0,5250.0
Colombia,2020,1642775.0,43213.0
Colombia,2021,5157440.0,129942.0
Colombia,2022,6336660.0,141881.0
Germany,2020,1719737.0,33071.0
Germany,2021,7109182.0,111602.0
Germany,2022,37369866.0,161465.0
Denmark,2020,163479.0,1298.0
Denmark,2021,802397.0,3267.0
Denmark,2022,3385836.0,7758.0
Algeria,2020,99610.0,2756.0
Algeria,2021,218432.0,6276.0
Algeria,2022,271228.0,6881.0
Ecuador,2020,212512.0,14034.0
Ecuador,2021,549418.0,33681.0
Ecuador,2022,1040463.0,35940.0
Egypt,2020,138062.0,7631.0
Egypt,2021,385575.0,21752.0
Egypt,2022,515645.0,24801.0
Spain,2020,1928265.0,50837.0
Spain,2021,6294745.0,89405.0
Spain,2022,13684258.0,117095.0
Estonia,2020,27990.0,229.0
Estonia,2021,241408.0,1932.0
Estonia,2022,611891.0,2854.0
Finland,2020,36422.0,592.0
Finland,2021,270829.0,1714.0
Finland,2022,1438205.0,7933.0
France,2020,2616902.0,64267.0
France,2021,9761814.0,121201.0
France,2022,38266999.0,158385.0
United Kingdom,2020,2488780.0,94998.0
United Kingdom,2021,12937886.0,177397.0
United Kingdom,2022,24135080.0,216306.0
Greece,2020,138850.0,4838.0
Greece,2021,1210853.0,20790.0
Greece,2022,5548487.0,34779.0
Hong Kong,2020,8846.0,148.0
Hong Kong,2021,12649.0,213.0
Hong Kong,2022,2625633.0,11807.0
Croatia,2020,210837.0,3920.0
Croatia,2021,715245.0,12538.0
Croatia,2022,1263901.0,17596.0
Hungary,2020,322514.0,9537.0
Hungary,2021,1256415.0,39186.0
Hungary,2022,2185816.0,48495.0
Indonesia,2020,743198.0,22138.0
Indonesia,2021,4262720.0,144094.0
Indonesia,2022,6719815.0,160612.0
India,2020,10286709.0,148994.0
India,2021,34861579.0,481486.0
India,2022,44679873.0,530705.0
Ireland,2020,91779.0,2237.0
Ireland,2021,788559.0,5912.0
Ireland,2022,1687668.0,8293.0
Iran,2020,1225142.0,55223.0
Iran,2021,6194401.0,131606.0
Iran,2022,7561140.0,144685.0
Israel,2020,423262.0,3325.0
Israel,2021,1383932.0,8243.0
Israel,2022,4763676.0,12037.0
Italy,2020,2107166.0,74159.0
Italy,2021,6125683.0,137402.0
Italy,2022,25143705.0,184642.0
Japan,2020,235749.0,3492.0
Japan,2021,1733307.0,18392.0
Japan,2022,29234677.0,57274.0
Kazakhstan,2020,201196.0,2749.0
Kazakhstan,2021,1072518.0,18211.0
Kazakhstan,2022,1488306.0,19057.0
South Korea,2020,61769.0,917.0
South Korea,2021,635253.0,5625.0
South Korea,2022,29116800.0,32219.0
Lithuania,2020,145052.0,1800.0
Lithuania,2021,524427.0,7397.0
Lithuania,2022,1288374.0,9481.0
Luxembourg,2020,46415.0,495.0
Luxembourg,2021,103766.0,915.0
Luxembourg,2022,311746.0,1178.0
Latvia,2020,40904.0,635.0
Latvia,2021,276674.0,4570.0
Latvia,2022,973830.0,6161.0
Morocco,2020,439193.0,7388.0
Morocco,2021,963092.0,14849.0
Morocco,2022,1271595.0,16294.0
Mexico,2020,1426094.0,125807.0
Mexico,2021,3979723.0,299428.0
Mexico,2022,7234467.0,331099.0
Malaysia,2020,113010.0,471.0
Malaysia,2021,2758086.0,31487.0
Malaysia,2022,5026677.0,36853.0
Netherlands,2020,805164.0,11432.0
Netherlands,2021,3148315.0,20924.0
Netherlands,2022,8569095.0,22990.0
Norway,2020,49567.0,436.0
Norway,2021,394259.0,1305.0
Norway,2022,1475077.0,4670.0
New Zealand,2020,2162.0,26.0
New Zealand,2021,14118.0,48.0
New Zealand,2022,2094354.0,2331.0
Pakistan,2020,482178.0,10176.0
Pakistan,2021,1295933.0,28933.0
Pakistan,2022,1575772.0,30636.0
Peru,2020,1015137.0,93070.0
Peru,2021,2296831.0,202690.0
Peru,2022,4458643.0,218232.0
Philippines,2020,474064.0,9244.0
Philippines,2021,2843979.0,51504.0
Philippines,2022,4064443.0,65385.0
Poland,2020,1294878.0,28554.0
Poland,2021,4108215.0,97054.0
Poland,2022,6368479.0,118533.0
Portugal,2020,413678.0,6906.0
Portugal,2021,1389646.0,18955.0
Portugal,2022,5554058.0,25714.0
Romania,2020,632263.0,15767.0
Romania,2021,1808891.0,58752.0
Romania,2022,3308480.0,67374.0
Russia,2020,3127347.0,56271.0
Russia,2021,10320405.0,302671.0
Russia,2022,21490515.0,385789.0
Slovenia,2020,122152.0,2697.0
Slovenia,2021,464048.0,5589.0
Slovenia,2022,1307442.0,7008.0
Sweden,2020,437379.0,8727.0
Sweden,2021,1314784.0,15310.0
Sweden,2022,2674862.0,21827.0
Thailand,2020,6884.0,61.0
Thailand,2021,2223435.0,21698.0
Thailand,2022,4721808.0,33594.0
Trinidad and Tobago,2020,7150.0,127.0
Trinidad and Tobago,2021,91899.0,2869.0
Trinidad and Tobago,2022,186033.0,4283.0
Turkey,2020,2208652.0,20881.0
Turkey,2021,9482550.0,82361.0
Turkey,2022,16919638.0,101203.0
Taiwan,2020,799.0,7.0
Taiwan,2021,17029.0,850.0
Taiwan,2022,8847360.0,15253.0
Ukraine,2020,1086997.0,19281.0
Ukraine,2021,3847226.0,102088.0
Ukraine,2022,5662732.0,118689.0
United States,2020,20219878.0,350604.0
United States,2021,54907717.0,825468.0
United States,2022,100765333.0,1092764.0
Uzbekistan,2020,77060.0,614.0
Uzbekistan,2021,198903.0,1485.0
Uzbekistan,2022,249217.0,1637.0
Venezuela,2020,113558.0,1028.0
Venezuela,2021,444635.0,5328.0
Venezuela,2022,550522.0,5832.0
Vietnam,2020,1465.0,35.0
Vietnam,2021,1731257.0,32394.0
Vietnam,2022,11525231.0,43186.0
South Africa,2020,1057161.0,28469.0
South Africa,2021,3458286.0,91145.0
South Africa,2022,4049202.0,102568.0
