country,flag,hydro_energy_per_capita,coal_cons_per_capita,oil_energy_per_capita,nuclear_energy_per_capita,gas_energy_per_capita
Algeria,actual,-6.3839999999999995,-77.41,-671.2449999999999,0.0,-573.4959999999992
Algeria,expected,-8.831,-42.184,-541.4089999999997,0.0,349.65200000000004
Algeria,diff,2.447,-35.226,-129.83600000000024,0.0,-923.1479999999992
Argentina,actual,-239.99399999999991,40.82599999999999,-793.2959999999994,82.97300000000007,-650.5820000000003
Argentina,expected,-484.7839999999999,128.80800000000002,557.3980000000001,86.76200000000006,-260.10000000000036
Argentina,diff,244.78999999999996,-87.98200000000003,-1350.6939999999995,-3.7889999999999873,-390.48199999999997
Australia,actual,17.88499999999999,-947.8919999999998,-3478.7520000000004,0.0,-889.4880000000012
Australia,expected,151.8639999999998,-1726.8359999999993,-3152.326000000001,0.0,-2106.8269999999993
Australia,diff,-133.97899999999981,778.9439999999995,-326.4259999999995,0.0,1217.3389999999981
Austria,actual,263.3019999999997,-563.4679999999998,-2318.4230000000007,0.0,-450.27800000000025
Austria,expected,-753.994999999999,-442.0450000000001,-1537.019000000002,0.0,81.54399999999987
Austria,diff,1017.2969999999987,-121.42299999999977,-781.4039999999986,0.0,-531.8220000000001
Azerbaijan,expected,-79.00900000000001,-0.601,163.41399999999976,0.0,907.3690000000006
Azerbaijan,diff,-50.98499999999996,0.297,-720.5079999999998,0.0,-404.28299999999945
Azerbaijan,actual,-129.99399999999997,-0.304,-557.094,0.0,503.08600000000115
Bangladesh,diff,0.4559999999999995,62.831999999999994,-216.46399999999994,0.0,-20.53599999999983
Bangladesh,actual,-2.117000000000001,22.27199999999999,-122.77199999999993,0.0,-82.13199999999983
Bangladesh,expected,-2.5730000000000004,-40.56,93.69200000000001,0.0,-61.596000000000004
Belarus,diff,7.6910000000000025,-22.889999999999986,483.6949999999997,-1426.933,-1162.101999999999
Belarus,actual,13.403999999999996,-588.4800000000001,-343.0040000000008,88.42,-1384.5119999999988
Belarus,expected,5.712999999999994,-565.5900000000001,-826.6990000000005,1515.353,-222.40999999999985
Belgium,diff,-33.592999999999996,-244.56399999999985,-2799.6719999999987,-3377.0339999999997,95.27399999999943
Belgium,actual,-8.532000000000004,-708.415,-4607.220999999998,-2058.4529999999995,-403.03199999999924
Belgium,expected,25.060999999999993,-463.8510000000001,-1807.548999999999,1318.5810000000001,-498.3059999999987
