Year,Country,value
2020,Aruba,42.32158469945355
2021,Aruba,42.214739726027396
2022,Aruba,31.98172602739726
2023,Aruba,
2020,Afghanistan,33.81669398907104
2021,Afghanistan,27.471232876712328
2022,Afghanistan,16.957506849315067
2023,Afghanistan,
2020,Angola,42.82450819672131
2021,Angola,49.61342465753425
2022,Angola,41.23517808219178
2023,Angola,
2020,Albania,51.81655737704918
2021,Albania,55.26331506849315
2022,Albania,27.499917808219177
2023,Albania,
2020,United Arab Emirates,48.205710382513665
2021,United Arab Emirates,57.52205479452054
2022,United Arab Emirates,40.63032876712329
2023,United Arab Emirates,
2020,Argentina,62.12841530054645
2021,Argentina,64.95482191780822
2022,Argentina,33.54553424657534
2023,Argentina,
2020,Australia,53.106912568306015
2021,Australia,59.550410958904116
2022,Australia,33.13071232876712
2023,Australia,
2020,Austria,51.02661202185793
2021,Austria,74.18224657534246
2022,Austria,62.41991780821918
2023,Austria,
2020,Azerbaijan,55.14049180327869
2021,Azerbaijan,60.81531506849315
2022,Azerbaijan,45.541260273972604
2023,Azerbaijan,
2020,Burundi,12.263169398907102
2021,Burundi,18.833287671232878
2022,Burundi,24.801479452054796
2023,Burundi,
2020,Belgium,50.63907103825137
2021,Belgium,62.79635616438357
2022,Belgium,35.0158904109589
2023,Belgium,
2020,Benin,37.561256830601096
2021,Benin,47.2666301369863
2022,Benin,27.608438356164385
2023,Benin,
2020,Burkina Faso,28.261229508196724
2021,Burkina Faso,30.244657534246578
2022,Burkina Faso,22.97980821917808
2023,Burkina Faso,
2020,Bangladesh,52.29939890710383
2021,Bangladesh,61.26134246575342
2022,Bangladesh,34.123260273972605
2023,Bangladesh,
2020,Bulgaria,38.26016393442623
2021,Bulgaria,55.931041095890414
2022,Bulgaria,31.663369863013695
2023,Bulgaria,
2020,Bahrain,56.820191256830604
2021,Bahrain,59.92731506849315
2022,Bahrain,30.707972602739726
2023,Bahrain,
2020,Bahamas,55.960846994535515
2021,Bahamas,63.04756164383562
2022,Bahamas,38.34487671232877
2023,Bahamas,
2020,Bosnia and Herzegovina,38.39117486338798
2021,Bosnia and Herzegovina,43.81942465753425
2022,Bosnia and Herzegovina,35.06517808219178
2023,Bosnia and Herzegovina,
2020,Belarus,26.192486338797817
2021,Belarus,38.08430136986301
2022,Belarus,18.610164383561646
2023,Belarus,
2020,Belize,49.41270491803279
2021,Belize,64.30991780821917
2022,Belize,30.937424657534248
2023,Belize,
2020,Bermuda,44.391530054644804
2021,Bermuda,56.70583561643836
2022,Bermuda,42.869780821917814
2023,Bermuda,
2020,Bolivia,51.25860655737705
2021,Bolivia,45.645808219178086
2022,Bolivia,36.13295890410959
2023,Bolivia,
2020,Brazil,50.88109289617486
2021,Brazil,50.739260273972604
2022,Brazil,31.48586301369863
2023,Brazil,
2020,Barbados,43.999071038251365
2021,Barbados,64.67638356164383
2022,Barbados,44.92038356164383
2023,Barbados,
2020,Brunei,38.84756830601093
2021,Brunei,54.136876712328764
2022,Brunei,40.65339726027397
2023,Brunei,
2020,Bhutan,55.70103825136613
2021,Bhutan,67.08331506849315
2022,Bhutan,42.773315068493154
2023,Bhutan,
2020,Botswana,41.510355191256835
2021,Botswana,51.81947945205479
2022,Botswana,20.565616438356162
2023,Botswana,
2020,Central African Republic,31.710573770491802
2021,Central African Republic,19.227123287671233
2022,Central African Republic,25.213205479452053
2023,Central African Republic,
2020,Canada,51.295737704918025
2021,Canada,66.87035616438357
