country,year,coal_consumption,hydro_consumption,oil_consumption,nuclear_consumption,gas_consumption
Algeria,1965,0.814,1.183,15.405,0.0,7.431
Algeria,1966,0.791,1.05,20.273,0.0,7.719
Algeria,1967,0.605,1.212,18.942,0.0,7.488
Algeria,1968,0.64,1.665,20.167,0.0,7.873
Algeria,1969,0.814,1.067,21.306,0.0,10.352
Algeria,1970,0.965,1.715,24.348,0.0,9.731
Algeria,1971,0.267,0.976,27.44,0.0,11.049
Algeria,1972,0.233,1.464,30.121,0.0,12.83
Algeria,1973,0.267,2.224,32.9,0.0,17.859
Algeria,1974,0.221,1.47,36.544,0.0,20.674
Algeria,1975,0.279,0.97,40.631,0.0,28.49
Algeria,1976,0.547,1.15,46.718,0.0,33.688
Algeria,1977,0.709,0.795,52.806,0.0,35.901
Algeria,1978,0.361,0.739,54.608,0.0,57.654
Algeria,1979,0.837,0.86,65.319,0.0,81.524
Algeria,1980,0.744,0.76,66.202,0.0,109.436
Algeria,1981,0.523,1.082,71.323,0.0,142.257
Algeria,1982,9.711,1.416,75.573,0.0,161.411
Algeria,1983,8.664,0.695,84.892,0.0,176.715
Algeria,1984,9.606,1.337,94.002,0.0,155.251
Algeria,1985,10.025,1.91,96.554,0.0,153.807
Algeria,1986,10.293,0.739,98.021,0.0,168.437
Algeria,1987,12.305,1.476,99.101,0.0,172.288
Algeria,1988,11.572,0.541,99.173,0.0,194.136
Algeria,1989,9.781,0.668,103.937,0.0,182.683
Algeria,1990,7.664,0.399,111.812,0.0,195.099
Algeria,1991,7.908,0.866,110.628,0.0,192.692
Algeria,1992,9.397,0.588,111.293,0.0,198.949
Algeria,1993,7.653,1.044,110.755,0.0,178.544
Algeria,1994,7.211,0.491,106.051,0.0,188.169
Algeria,1995,7.211,0.571,103.142,0.0,202.221
Algeria,1996,3.396,0.399,98.422,0.0,207.707
Algeria,1997,5.955,0.222,97.643,0.0,194.04
Algeria,1998,6.373,0.636,100.659,0.0,200.681
Algeria,1999,6.827,0.6,98.898,0.0,205.109
Algeria,2000,5.641,0.16,103.132,0.0,191.013
Algeria,2001,6.513,0.203,106.775,0.0,197.322
Algeria,2002,8.548,0.166,118.397,0.0,194.839
Algeria,2003,7.048,0.769,123.174,0.0,205.932
Algeria,2004,8.408,0.723,128.747,0.0,211.899
